a0,b0,VLL,ELBO,ARI,CL,BIC
836.4018078,1763.668576,-217760.9527,1.78545E+13,0.562832162,2,5054512.207
1315.379224,1892.546711,-229019.8967,1.78545E+13,0.562832162,2,5077030.095
853.5129177,1979.316085,-217858.8639,1.78545E+13,0.562832162,2,5054708.03
1864.765137,663.2042282,-300277.9923,1.78545E+13,0.562832162,2,5219546.286
1406.380593,702.5427041,-150452.0796,1.22466E+13,1,3,7229391.914
950.1872855,685.1718262,-231372.1404,1.78545E+13,0.562832162,2,5081734.583
1832.21456,670.3625534,-296934.6056,1.78545E+13,0.562832162,2,5212859.513
424.0489445,1140.450866,-174124.1883,1.22466E+13,1,3,7276736.132
1123.0225,1596.038828,-225639.7137,1.78545E+13,0.445780022,3,7379767.183
1736.736158,738.7765028,-284014.101,1.78545E+13,0.562832162,2,5187018.504
238.5187896,1294.902721,-224855.163,1.78545E+13,0.562832162,2,5068700.628
736.2399236,912.2031219,-217885.1684,1.78545E+13,0.562832162,2,5054760.639
1041.354869,680.0024818,-149070.363,1.22466E+13,1,3,7226628.481
871.6957236,527.1505301,-231539.6516,1.78545E+13,0.562832162,2,5082069.605
789.1544924,844.8305085,-220420.691,1.78545E+13,0.562832162,2,5059831.684
450.6407169,1590.92954,-217397.8871,1.78545E+13,0.562832162,2,5053786.076
1555.966711,1722.125355,-240047.3141,1.78545E+13,0.562832162,2,5099084.93
518.4985086,1048.916815,-213426.5842,1.78545E+13,0.562832162,2,5045843.47
655.4645182,1470.202399,-215508.211,1.78545E+13,0.562832162,2,5050006.724
16.82075505,1036.489629,-268539.8061,1.22466E+13,1,3,7465567.367
1623.477414,1927.895689,-239373.5816,1.78545E+13,0.548412007,3,7407234.918
202.0538605,616.1958891,-216847.1923,1.78545E+13,0.562832162,2,5052684.686
1979.768755,1359.906539,-146030.6726,1.22466E+13,1,3,7220549.1
111.6488276,1835.806347,-238003.1809,1.22466E+13,1,3,7404494.117
1283.377417,647.5308934,-255161.2036,1.78545E+13,0.562832162,2,5129312.709
553.8281383,1484.289049,-215360.6851,1.78545E+13,0.562832162,2,5049711.672
248.3304571,315.9987224,-167967.9104,1.22466E+13,1,3,7264423.576
417.6855162,560.5485838,-210626.2059,1.78545E+13,0.562832162,2,5040242.713
240.532836,1368.061008,-225650.5688,1.78545E+13,0.562832162,2,5070291.439
1447.401147,1826.675682,-234296.1669,1.78545E+13,0.562832162,2,5087582.636
352.7135452,1593.71477,-189803.0207,1.22466E+13,1,3,7308093.796
1742.297347,1717.622448,-248086.9032,1.78545E+13,0.562832162,2,5115164.108
110.0699973,1651.168829,-234743.6042,1.22466E+13,1,3,7397974.964
379.3171501,256.2475662,-211824.4115,1.78545E+13,0.562832162,2,5042639.125
1931.907836,1062.344926,-148357.7985,1.22466E+13,1,3,7225203.352
1666.805299,328.8053411,-326200.3641,1.78545E+13,0.470604253,3,7580888.483
775.791202,1203.231868,-217662.5485,1.78545E+13,0.562832162,2,5054315.399
1215.368407,814.144429,-148036.5004,1.22466E+13,1,3,7224560.756
884.9891369,386.993445,-239876.0627,1.78545E+13,0.562832162,2,5098742.427
1527.136087,158.983936,-379194.2015,1.78545E+13,0.562832162,2,5377378.705
518.3265432,283.5869971,-218508.9054,1.78545E+13,0.562832162,2,5056008.112
1647.272042,1351.799184,-252134.8354,1.78545E+13,0.562832162,2,5123259.972
1571.168019,144.1015623,-399371.0652,1.78545E+13,0.562832162,2,5417732.432
645.3083421,1075.436341,-214985.8407,1.78545E+13,0.562832162,2,5048961.983
759.4549703,211.6589463,-248204.4043,1.78545E+13,0.562832162,2,5115399.11
319.4853996,1247.73318,-218869.8949,1.78545E+13,0.562832162,2,5056730.092
1502.502281,495.8741334,-284559.6196,1.78545E+13,0.562832162,2,5188109.541
49.00615516,1102.350054,-247009.1518,1.22466E+13,1,3,7422506.059
1096.589264,1761.849403,-223483.689,1.78545E+13,0.562832162,2,5065957.68
1959.805833,880.9840947,-291404.0111,1.78545E+13,0.562832162,2,5201798.324
69.29871909,741.2046085,-241723.2167,1.78545E+13,0.562832162,2,5102436.735
686.9766539,1345.317761,-215697.3098,1.78545E+13,0.562832162,2,5050384.921
415.2077253,32.35765907,-246460.4046,1.22466E+13,1,3,7421408.564
1307.58425,1502.03162,-233336.0434,1.78545E+13,0.562832162,2,5085662.389
758.6712087,869.249208,-153324.431,1.22466E+13,1,3,7235136.617
617.6046069,1597.229474,-215686.7763,1.78545E+13,0.562832162,2,5050363.854
1038.958902,693.51931,-236174.5938,1.78545E+13,0.521953836,3,7400836.943
264.6499622,154.0507442,-211543.4454,1.78545E+13,0.562832162,2,5042077.193
1587.496967,1542.94698,-244729.5231,1.78545E+13,0.562832162,2,5108449.348
526.6902298,1435.831387,-215278.3072,1.78545E+13,0.562832162,2,5049546.916
1248.318548,177.0641377,-324098.8039,1.78545E+13,0.562832162,2,5267187.909
1328.080709,740.5602556,-253800.8339,1.78545E+13,0.562832162,2,5126591.969
