V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
0.021719653,0.019144624,0.020705756,0.024200414,0.017940221,0.017736256,0.020957252,0.020719157,0.020245802,0.019055119,0.020817568,0.017894996,0.026951909,0.019314573,0.018900269,0.019236052,0.019653499,0.020307357,0.019341697,0.01846529,0.019590238,0.020435785,0.019912918,0.020064377,0.023602536,0.018645144,0.01812567,0.021217,0.018544884,0.021263475,0.020882649,0.022862738,0.017382202,0.022622314,0.019735847,0.022903391,0.021297713,0.018377597,0.019114696,0.022218516,0.019648189,0.019179453,0.021368677,0.021467602,0.019993036,0.019694056,0.019732191,0.021578099,0.018151058,0.021116858,0.020950581,0.019502163,0.021079234,0.018997567,0.021319902,0.022068475,0.017716289,0.019336495,0.022117063,0.019475763,0.020586995,0.019691612,0.021749423,0.023867783,0.021335136,0.020141351,0.020182174,0.021058571,0.021189133,0.023551857,0.029605003,0.025247522,0.036189258,0.023984042,0.030619054,0.032008186,0.02861821,0.026854051,0.046858424,0.039128358,0.022188525,0.03433795,0.035548341,0.032669802,0.031165457,0.030783216,0.035179409,0.032506997,0.035174756,0.034930801,0.036688169,0.053745508,0.042096527,0.033937909,0.032225645,0.034147002,0.034531078,0.031962872,0.034231694,0.032658398
0.261544377,0.256714923,0.216407114,0.089660168,0.074381351,0.078047935,0.071255875,0.070387691,0.0745693,0.071718286,0.076224998,0.079844066,0.079652005,0.076983477,0.080840145,0.08415677,0.075904118,0.074008353,0.074180476,0.081673412,0.076176371,0.07085166,0.072715759,0.073241052,0.078990045,0.073135376,0.078753863,0.081797791,0.093192339,0.085004687,0.078805506,0.078784171,0.070920355,0.07252121,0.071320876,0.0812765,0.072191295,0.0875725,0.083040953,0.074905816,0.071707951,0.072289375,0.072565694,0.071135744,0.077742577,0.083021626,0.074849796,0.07461749,0.072888374,0.071291235,0.070749002,0.07027611,0.07152456,0.068196647,0.072795475,0.069013253,0.069060114,0.07159932,0.070551361,0.076430541,0.069661445,0.073576609,0.081081435,0.114387671,0.083366725,0.081960917,0.089250829,0.059365301,0.044732332,0.053157933,0.046335481,0.049438063,0.048479824,0.28241093,0.392258498,0.252148179,0.267378821,0.324252778,0.352692057,0.282199815,0.314193939,0.358109522,0.289440057,0.285147697,0.276135132,0.276848748,0.282596739,0.289312497,0.282662826,0.284083062,0.282056689,0.28459619,0.286857049,0.27518481,0.280897126,0.289009953,0.283894651,0.283100128,0.283552751,0.305819137
0.187970366,0.242479535,0.114479343,0.13207328,0.086686424,0.082355278,0.086859822,0.189843964,0.220258474,0.306655077,0.128397862,0.11904214,0.121353354,0.129912011,0.113627638,0.11203223,0.11160828,0.12405014,0.123388115,0.112443666,0.127076213,0.120171348,0.136257172,0.123698875,0.11663207,0.115226058,0.111785786,0.11764706,0.121971832,0.120343506,0.126981937,0.113521616,0.116714459,0.131828632,0.122690996,0.129274641,0.120594358,0.12129971,0.119518224,0.133203779,0.122603859,0.125873702,0.11763846,0.121863501,0.12238307,0.124214729,0.120518271,0.122995155,0.114028573,0.121334314,0.118803615,0.128068419,0.120108775,0.124860781,0.125835167,0.122902743,0.120557002,0.115179573,0.121713358,0.119931783,0.120065144,0.135278424,0.111555885,0.118375603,0.11612837,0.112908065,0.109870008,0.111558723,0.115079365,0.117832931,0.119340658,0.118867856,0.117699936,0.118521929,0.126149929,0.115803274,0.114693324,0.113891935,0.118465934,0.106478741,0.094453952,0.107001616,0.168273,0.171650921,0.200727733,0.161513989,0.164610252,0.157925336,0.159560487,0.157629618,0.161487776,0.15517141,0.157420857,0.162154992,0.158586931,0.163512083,0.1708522,0.210556286,0.117052436,0.123501148
0.167678898,0.168168326,0.165240248,0.204154913,0.1973351,0.177615309,0.170094078,0.196098176,0.170948823,0.180736709,0.194541454,0.179485703,0.170560002,0.167347853,0.168397188,0.169048634,0.169746816,0.179714004,0.165977196,0.168695103,0.167504831,0.163202339,0.171667397,0.16807645,0.177855515,0.164355473,0.171003397,0.168332696,0.171994408,0.171198455,0.174524983,0.177001823,0.199448629,0.165645469,0.16816411,0.170898795,0.168482542,0.166007113,0.171766563,0.184802095,0.168030197,0.179779356,0.176976924,0.166596413,0.188549537,0.173055454,0.193234205,0.166092098,0.177847312,0.169152403,0.168216377,0.167729855,0.167501143,0.180892897,0.170662218,0.165250561,0.184239474,0.17026888,0.169507662,0.18447299,0.167610462,0.167601195,0.174125284,0.233104359,0.230592203,0.172014908,0.174126625,0.164937648,0.174903317,0.173551798,0.168322802,0.206134001,0.178247278,0.165426652,0.183011699,0.197698092,0.164885918,0.17205148,0.168623816,0.171868351,0.179173543,0.188007402,0.168716749,0.166878267,0.17249155,0.195465803,0.170203209,0.172903278,0.209553321,0.166046186,0.16866827,0.172757983,0.17364471,0.182984814,0.16446658,0.188658881,0.164484811,0.165738087,0.171182013,0.169278548
0.250120185,0.25322326,0.231983344,0.278526902,0.2706424,0.244657343,0.232995537,0.229801079,0.29605751,0.2415838,0.249136996,0.230301499,0.234955597,0.288665666,0.236332553,0.256554914,0.236402607,0.240694545,0.226713896,0.272106084,0.230302191,0.228617001,0.238967896,0.238043904,0.271597783,0.234207173,0.23933946,0.233709908,0.282866657,0.227732241,0.235996294,0.255846405,0.270096707,0.2395321,0.242910814,0.261158089,0.231724103,0.2619349,0.234068255,0.242139313,0.225807905,0.245518744,0.255495808,0.235915885,0.26448067,0.235423613,0.28661936,0.235310237,0.269438635,0.228522672,0.235387007,0.230696353,0.270940399,0.259937763,0.227573013,0.236052222,0.267215274,0.251028326,0.239131212,0.264417822,0.239524658,0.276609111,0.235309254,0.232508516,0.24633801,0.237609012,0.22959076,0.231492996,0.250265789,0.244891882,0.233001093,0.229648641,0.235628414,0.238938087,0.230142777,0.23907832,0.238283413,0.230460122,0.239053329,0.242474662,0.259214553,0.233291734,0.237301517,0.244849894,0.262874656,0.22715261,0.234101348,0.267395908,0.245491326,0.234566402,0.245325284,0.23181708,0.235297181,0.246993803,0.259895541,0.235464382,0.248668003,0.245230389,0.258348393,0.234829843
0.309758127,0.315588999,0.371293677,0.312783734,0.310698218,0.333675891,0.360438665,0.409728497,0.304587205,0.316291063,0.310172213,0.346302629,0.308921993,0.391604513,0.312281203,0.321338201,0.383339904,0.312880695,0.302970464,0.394856433,0.258534598,0.272009993,0.306003404,0.284042215,0.267558416,0.25067944,0.26190619,0.269014406,0.279784459,0.261068874,0.257460624,0.271914631,0.285760373,0.286450995,0.261536121,0.250900412,0.359978358,0.29622123,0.270671538,0.294436884,0.299127698,0.261765867,0.265731382,0.251482248,0.274083734,0.256763188,0.289713001,0.26230953,0.25178051,0.266359997,0.290482998,0.267974562,0.265672088,0.273809459,0.255138408,0.27364549,0.251582623,0.274874687,0.303140667,0.291010459,0.280544734,0.296146488,0.272385502,0.28525327,0.29203611,0.290494514,0.258396334,0.255626384,0.257578111,0.265383601,0.27411709,0.263624646,0.248002794,0.284894064,0.254096678,0.25329864,0.268977563,0.263640642,0.31247433,0.257622004,0.280935735,0.330698609,0.251021883,0.285989001,0.319280291,0.251844192,0.30585351,0.254857885,0.281688876,0.260617375,0.262894011,0.250206002,0.287111547,0.246749816,0.278704237,0.298188448,0.267265767,0.25115102,0.260815096,0.25344793
0.501146555,0.342377769,0.341376675,0.343350331,0.40790534,0.355241627,0.420610398,0.365753502,0.396284342,0.334523201,0.33967185,0.402917409,0.336988902,0.342879447,0.326985889,0.36304602,0.363726669,0.403547446,0.341745108,0.326503009,0.34366069,0.324692919,0.402354479,0.345824991,0.354457885,0.326217612,0.376203507,0.341939007,0.358313867,0.337470566,0.403816891,0.356426716,0.409199623,0.359330552,0.360518754,0.406905121,0.418537882,0.373630688,0.335284771,0.350296172,0.365768777,0.342830002,0.363551307,0.420030779,0.395643741,0.362420106,0.338335991,0.349944171,0.330005884,0.358547793,0.364528269,0.351588999,0.441701621,0.348351866,0.350796757,0.332255205,0.366093272,0.327654099,0.438198239,0.33274844,0.344208509,0.388206869,0.356759638,0.343257099,0.404973004,0.32420712,0.408107334,0.35864777,0.373141016,0.346536557,0.343268609,0.34734743,0.407075326,0.501436847,0.350168347,0.384398997,0.341570536,0.340880129,0.446260418,0.474114239,0.348656982,0.333224624,0.34546724,0.396457434,0.484519005,0.33791656,0.448219895,0.390299729,0.338210212,0.33198408,0.332087994,0.351169616,0.393252134,0.341857255,0.351162016,0.366497874,0.329151445,0.336959124,0.42066437,0.390906027
0.446173157,0.432339638,0.430728149,0.45405826,0.444279762,0.452045134,0.44982569,0.435715765,0.454413142,0.440872431,0.497787457,0.462830332,0.438536495,0.45927998,0.458138432,0.569201767,0.516966134,0.491876568,0.466820901,0.439715147,0.453553029,0.442854643,0.448112011,0.529435794,0.436493688,0.524823874,0.53240071,0.438288122,0.434390443,0.527043274,0.431438551,0.4189065,0.423344347,0.562770162,0.530924422,0.438941346,0.446744714,0.430472112,0.424966208,0.487789699,0.425064155,0.425113283,0.435991423,0.456831485,0.544110626,0.557598557,0.507998139,0.441001505,0.419725915,0.430026889,0.441514783,0.527527124,0.44804989,0.511441999,0.447741359,0.538068235,0.522435321,0.545214721,0.45104146,0.536158153,0.482343629,0.429088507,0.463465418,0.444322616,0.429974318,0.424226141,0.453067998,0.507512297,0.548401505,0.549647868,0.429371899,0.442989379,0.434350093,0.42043826,0.444865439,0.445723796,0.429959485,0.44466824,0.441833764,0.438497104,0.538983136,0.425384862,0.445478737,0.489389314,0.424534866,0.44726038,0.437401235,0.43450586,0.559496777,0.524460256,0.459176362,0.432309469,0.550633642,0.562502861,0.454506431,0.435759851,0.447800023,0.42484355,0.431164435,0.432755768
0.544922858,0.71852839,0.579336643,0.5656555,0.553851326,0.559484005,0.532649841,0.605574846,0.541838328,0.625735015,0.566876858,0.662768006,0.671087146,0.550961018,0.574492999,0.528566429,0.550648361,0.561634711,0.557490736,0.689832279,0.621094444,0.531953439,0.547648702,0.569620878,0.554401636,0.561622888,0.582193443,0.671423435,0.561532429,0.570550501,0.745962143,0.711400407,0.666004011,0.549643248,0.585925136,0.641448194,0.581825376,0.572765555,0.554788147,0.695659569,0.558686869,0.541286145,0.532458714,0.706608159,0.675907373,0.568872418,0.641269445,0.679003106,0.546060698,0.85964942,0.555783987,0.564386708,0.767486751,0.566592455,0.707121168,0.709036589,0.562776021,0.595050131,0.702989851,0.562553614,0.54453826,0.580548286,0.75686425,0.555048347,0.571368286,0.625671285,0.545112712,0.664826751,0.546960235,0.630734992,0.545241658,0.553229074,0.677321762,0.575349748,0.739127755,0.71140936,0.702371291,0.538042579,0.565208375,0.559873853,0.640818426,0.582945347,0.670347601,0.5705973,0.539192736,0.588253766,0.770004579,0.57160555,0.551191875,0.552861503,0.546016863,0.585201502,0.548101008,0.580228124,0.553652167,0.646839272,0.548155716,0.702435425,0.692495448,0.560727098
0.831669501,0.852621198,0.727389574,0.769889683,0.689133376,0.689805239,0.814224277,0.697906698,0.695876837,0.762027701,0.845146997,0.750251532,0.679268564,0.673455675,0.664647235,0.840645007,0.679160833,0.753285249,0.833293259,0.670451492,0.850103021,0.707309587,0.85487158,0.67833964,0.67956682,0.862516324,0.911749323,0.661102387,0.673747301,0.725747883,0.71812456,0.695632151,0.690976501,0.671692775,0.869908844,0.856400996,0.680317708,0.825488865,0.690256357,0.777805294,0.677048117,0.85217057,0.74443686,0.68964235,0.789026022,0.691909143,0.687123435,0.707415445,0.688681841,0.671711326,0.87163802,0.66534807,0.6708221,0.867652337,0.668534994,0.667020696,0.671296426,0.677666664,0.674687147,0.70156165,0.702347994,0.693293691,0.833379728,0.667859809,0.670178992,1.096064687,0.740841649,0.671468871,0.74359199,0.702840396,0.696017186,0.690401256,0.813306843,0.685272864,0.720605271,0.69999369,0.771115979,0.710654497,0.663360933,0.873895009,0.758911106,0.671564553,0.685680191,0.846413544,0.664665673,0.839845916,0.745568446,0.686941195,0.878385504,0.712699277,0.738897562,0.687259833,0.909714252,0.679154021,0.749915004,0.838231564,0.686502496,0.664329427,0.669289994,0.951084546
