M1,M2,M3,M4,M5,M6,M7,M8
2,2,2,1,2,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,3,1,3,2,2,2
2,2,4,1,2,2,2,2
2,2,3,1,1,2,2,2
2,2,2,1,3,2,2,2
2,2,2,1,1,2,2,2
2,2,2,1,1,2,2,2
2,2,2,1,1,2,2,2
2,2,3,1,2,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,1,2,2,2
2,2,2,1,3,2,2,2
2,2,2,1,2,2,2,2
2,2,3,1,1,2,2,2
2,2,2,1,1,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,3,1,2,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,2,1,3,2,2,2
2,2,4,1,2,2,2,2
2,2,2,1,1,2,2,2
2,2,2,1,2,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,3,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,4,1,2,2,2,2
2,2,3,1,2,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,3,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,1,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,2,2,2,2
2,2,3,1,3,2,2,2
2,2,2,1,2,2,2,2
2,2,3,1,2,2,2,2
2,2,3,1,1,2,2,2
2,2,2,1,2,2,2,2
2,2,2,1,3,2,2,2
2,2,2,1,3,2,2,2
2,2,3,1,1,2,2,2
2,2,2,1,2,2,2,2
2,2,3,1,2,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,1,2,2,2
2,2,2,1,2,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,2,1,1,2,2,2
2,2,4,1,2,2,2,2
2,2,2,1,1,2,2,2
2,2,2,1,1,2,2,2
2,2,2,1,1,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,2,2,2,2
2,2,4,1,1,2,2,2
2,2,2,1,1,2,2,2
2,2,2,1,2,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,3,2,2,2
2,2,2,1,2,2,2,2
2,2,2,1,1,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,3,2,2,2
2,2,2,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,3,1,2,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,1,2,2,2
2,2,2,1,3,2,2,2
2,2,2,1,2,2,2,2
2,2,2,1,1,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,2,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,3,2,2,2
2,2,2,1,1,2,2,2
2,2,3,1,2,2,2,2
2,2,3,1,1,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,2,1,4,2,2,2
2,2,2,1,1,2,2,2
2,2,3,1,2,2,2,2
2,2,2,1,2,2,2,2
2,2,3,1,1,2,2,2
