"","expr","time"
"1","Sparse DPMM",165108200
"2","DPMGibbsN",93253644400
"3","Sparse DPMM",478472800
"4","Sparse DPMM",253109900
"5","Sparse DPMM",243101800
"6","DPMGibbsN",70015508300
"7","DPMGibbsN",67286023100
"8","Sparse DPMM",406286000
"9","Sparse DPMM",257328000
"10","DPMGibbsN",68710192700
"11","Sparse DPMM",379939800
"12","DPMGibbsN",78649382700
"13","Sparse DPMM",2140474600
"14","Sparse DPMM",197937500
"15","DPMGibbsN",65638318200
"16","Sparse DPMM",296182100
"17","DPMGibbsN",52773811100
"18","Sparse DPMM",597652700
"19","DPMGibbsN",73127714200
"20","DPMGibbsN",74696966800
"21","DPMGibbsN",134229938900
"22","DPMGibbsN",76573484300
"23","DPMGibbsN",54682074500
"24","DPMGibbsN",82278663000
"25","DPMGibbsN",55618528400
"26","Sparse DPMM",786755300
"27","Sparse DPMM",274528000
"28","DPMGibbsN",64790042200
"29","Sparse DPMM",2285265000
"30","Sparse DPMM",211331400
"31","DPMGibbsN",82590348600
"32","DPMGibbsN",79148325600
"33","DPMGibbsN",90739021100
"34","Sparse DPMM",1087814200
"35","Sparse DPMM",377252700
"36","DPMGibbsN",46033298600
"37","Sparse DPMM",607301500
"38","Sparse DPMM",319808600
"39","DPMGibbsN",114615631200
"40","Sparse DPMM",779716800
"41","DPMGibbsN",71306159600
"42","Sparse DPMM",843018700
"43","DPMGibbsN",69737089400
"44","Sparse DPMM",548207500
"45","DPMGibbsN",47443699100
"46","DPMGibbsN",69215442700
"47","Sparse DPMM",1054039600
"48","DPMGibbsN",48005915000
"49","DPMGibbsN",67167477900
"50","DPMGibbsN",118547766800
"51","Sparse DPMM",917319800
"52","Sparse DPMM",465074600
"53","DPMGibbsN",59920688900
"54","Sparse DPMM",2189997300
"55","Sparse DPMM",220713300
"56","Sparse DPMM",190579800
"57","Sparse DPMM",189769000
"58","DPMGibbsN",56681724500
"59","DPMGibbsN",93387679100
"60","Sparse DPMM",3205652900
"61","DPMGibbsN",126530560700
"62","DPMGibbsN",124164824300
"63","DPMGibbsN",87408560700
"64","DPMGibbsN",41905722900
"65","DPMGibbsN",131960442100
"66","Sparse DPMM",862277000
"67","DPMGibbsN",131006807700
"68","Sparse DPMM",792920400
"69","DPMGibbsN",74221222100
"70","DPMGibbsN",63770438900
"71","DPMGibbsN",100541685900
"72","Sparse DPMM",482357200
"73","DPMGibbsN",88438411200
"74","DPMGibbsN",78079088700
"75","Sparse DPMM",822025500
"76","DPMGibbsN",115091924100
"77","DPMGibbsN",119941624600
"78","Sparse DPMM",481776900
"79","DPMGibbsN",149402739400
"80","Sparse DPMM",1294202500
"81","DPMGibbsN",105964709400
"82","Sparse DPMM",959227700
"83","Sparse DPMM",400225600
"84","DPMGibbsN",83854599000
"85","Sparse DPMM",868455000
"86","Sparse DPMM",391980700
"87","DPMGibbsN",114324787400
"88","DPMGibbsN",91690841900
"89","DPMGibbsN",63863729400
"90","DPMGibbsN",114875124800
"91","Sparse DPMM",1021622000
"92","Sparse DPMM",405782400
"93","DPMGibbsN",78049534000
"94","DPMGibbsN",80711197700
"95","DPMGibbsN",90966334200
"96","DPMGibbsN",90373864100
"97","DPMGibbsN",79697302100
"98","Sparse DPMM",826396000
"99","DPMGibbsN",66175495900
"100","DPMGibbsN",106150660900
"101","DPMGibbsN",66642395000
"102","Sparse DPMM",1790636200
"103","DPMGibbsN",94689528300
"104","Sparse DPMM",667180700
"105","Sparse DPMM",426818700
"106","DPMGibbsN",95384244200
"107","Sparse DPMM",1191317900
"108","DPMGibbsN",154754952100
"109","Sparse DPMM",5129166200
